threshold_quantile,burn_in_days,prompts_per_week,ci95,n
0.7,0,6.9,0.08934788579739482,1500
0.7,1,7.103703703703703,0.09302814179303312,1500
0.7,2,7.0807692307692305,0.10750039193527,1500
0.7,3,6.832,0.09555038639356708,1500
0.7,5,6.51304347826087,0.08882924410534752,1500
0.7,7,6.466666666666667,0.0921793008063429,1500
0.75,0,5.725,0.09794277849118015,1500
0.75,1,5.885185185185185,0.1018412788855499,1500
0.75,2,5.923076923076923,0.1117286582885636,1500
0.75,3,5.684,0.09801051204461438,1500
0.75,5,5.386956521739131,0.09219929907448135,1500
0.75,7,5.433333333333334,0.09057443411382517,1500
0.8,0,4.725,0.08629289450718573,1500
0.8,1,4.848148148148148,0.09017923171570129,1500
0.8,2,4.846153846153846,0.09866101759090079,1500
0.8,3,4.62,0.08415750410390031,1500
0.8,5,4.352173913043479,0.07735918430145335,1500
0.8,7,4.333333333333333,0.0784261464072635,1500
0.85,0,4.0,0.07923887429454252,1500
0.85,1,4.0962962962962965,0.08255011303045694,1500
0.85,2,4.065384615384615,0.09131765483593514,1500
0.85,3,3.836,0.08143967810827996,1500
0.85,5,3.5608695652173914,0.07766543721833587,1500
0.85,7,3.566666666666667,0.08405187042768712,1500
0.9,0,3.15,0.05580118142027638,1500
0.9,1,3.2148148148148143,0.05756944791528842,1500
0.9,2,3.15,0.06566251563228559,1500
0.9,3,2.884,0.06081912679732907,1500
0.9,5,2.708695652173913,0.051769316354039654,1500
0.9,7,2.7,0.06011250293135737,1500
