resp_rate,n,mean_abs_err_sigma,ci_abs_err_sigma,mean_abs_err_rho,ci_abs_err_rho,mssd_pearson_r
0.5,200,0.11485769747846916,0.013114092667297138,0.21119528176866886,0.02288972733528763,0.7981578605855946
0.55,200,0.12469201138311124,0.014599402996979214,0.18777769383508455,0.021784805473486938,0.8817125163754874
0.6,200,0.11924493139988136,0.013298358259097549,0.16074311717205905,0.01705927548845244,0.8755360865583897
0.65,200,0.1209690380629543,0.013871669100524873,0.16257660736051752,0.020140723760564548,0.8857024482833222
0.7,200,0.11636066003700134,0.013724266341156095,0.1655079578066948,0.018200110058775813,0.8818665629587339
0.75,200,0.12076223101432246,0.014582355230743317,0.15764559510320555,0.0172874349994077,0.9134004738444564
0.8,200,0.10904276534382784,0.012736317440766892,0.14958541301423872,0.016740031741211796,0.8979336453117743
0.85,200,0.11454154132484497,0.013642806826293577,0.1385713339463137,0.014684186894393242,0.9212670767881999
0.9,200,0.11702132045061862,0.013164420383196821,0.1336488201179129,0.014919294835119782,0.90979304354148
0.95,200,0.10177135799837295,0.01065822398057732,0.12102130216710166,0.012374026759886305,0.9348995770114434
